Timestamp,Symbol,Status,Score,Signal,Reasons
2025-12-14 11:51:47,BNX/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:47,ALPHA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:53,ETH/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:53,BTC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:53,ALPACA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:54,FOLKS/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:54,ZEC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:54,SOL/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:54,BEAT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:54,NIGHT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:55,BNX/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:51:55,ALPHA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:52:01,ETH/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:52:01,BTC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:52:01,ALPACA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:52:02,FOLKS/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:52:02,ZEC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:52:02,SOL/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:52:02,BEAT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:52:02,NIGHT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:52:03,BNX/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:52:03,ALPHA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:52:09,ETH/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:52:09,BTC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:52:09,ALPACA/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:52:10,FOLKS/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:52:10,ZEC/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:52:10,SOL/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:52:10,BEAT/USDT:USDT,ERROR,0,N/A,Analysis Failed
2025-12-14 11:52:10,NIGHT/USDT:USDT,ERROR,0,N/A,Analysis Failed
