asset,entry_date,exit_date,entry_price,exit_price,shares,pnl,pnl_pct,reason,entry_score,exit_score,holding_days,sig_bear_low_vol,sig_magic_40,sig_magic_19,sig_ma_cross,sig_momentum,sig_rsi,sig_macd,sig_hurst
ETH-USD,2021-08-11,2021-08-12,3164.2451171875,3043.414306640625,1.053437142156713,-127.28766374697898,-3.818629912409376,SIGNAL_WEAK,60.25609756097561,37.9390243902439,1,0.0,1.0,1.0,0.5,1.0,80.49590779197868,62.41875512475022,0.4611005178085961
SOL-USD,2021-08-15,2021-08-16,53.74515914916992,62.432464599609375,62.02108964049492,538.7961500760653,16.16388450228196,TAKE_PROFIT,64.06329113924052,64.06329113924052,1,0.0,1.0,1.0,0.5,1.0,84.86471437578642,1.390684649705841,0.3649243100997453
SOL-USD,2021-08-17,2021-08-20,64.21070861816406,78.72461700439453,51.912420919622015,753.452121334828,22.60356364004484,TAKE_PROFIT,64.06329113924052,57.06012658227848,3,0.0,1.0,1.0,0.5,1.0,91.26321083605045,2.6327263937071366,0.3518367412908464
BTC-USD,2021-08-25,2021-08-26,48960.7890625,46942.21875,0.06808169143430731,-137.42768115407853,-4.122830434622349,SIGNAL_WEAK,74.08536585365854,25.914634146341463,1,1.0,1.0,1.0,0.5,0.0,60.23998401500423,-90.5679037418954,0.4243497356117108
SOL-USD,2021-08-25,2021-08-27,71.95156860351562,88.08698272705078,46.32745884528865,747.5127337597642,22.425382012792927,TAKE_PROFIT,76.81329113924052,59.74367088607596,2,0.0,1.0,1.0,0.5,1.0,77.47334804878483,1.0735097114238332,0.4957741465728814
ETH-USD,2021-09-01,2021-09-02,3834.828125,3790.989990234375,0.8692262663879711,-38.105258207736824,-1.1431577462321079,SIGNAL_WEAK,60.25609756097561,27.573170731707314,1,0.0,1.0,1.0,0.5,1.0,75.91941324571454,15.089366249740209,0.5306664075865027
SOL-USD,2021-08-30,2021-09-02,110.54480743408203,128.10238647460938,30.153685285679323,529.425712766501,15.882771382995031,TAKE_PROFIT,60.740506329113934,48.36392405063292,3,0.0,1.0,1.0,0.5,1.0,82.2923290560454,2.9870561744618573,0.5779252204724794
SOL-USD,2021-09-03,2021-09-04,146.5830535888672,139.11306762695312,22.740236689860417,-169.86924884386053,-5.096077465315813,STOP_LOSS,60.740506329113934,59.74367088607596,1,0.0,1.0,1.0,0.5,1.0,84.49382466313965,5.258753772538691,0.5719152806202141
SOL-USD,2021-09-05,2021-09-06,142.0708770751953,164.38092041015625,23.462467480714334,523.4486662398485,15.703459987195457,TAKE_PROFIT,62.58860759493672,68.15822784810128,1,0.0,1.0,1.0,0.5,1.0,83.66714476032809,4.9330266906791564,0.5996806442898867
BTC-USD,2021-09-01,2021-09-07,48847.02734375,46811.12890625,0.06824024950127973,-138.9302173342653,-4.167906520027967,SIGNAL_WEAK,78.47560975609757,17.88617886178862,6,1.0,1.0,1.0,0.5,0.0,62.15859474543883,-398.6432304621055,0.4231381614165341
SOL-USD,2021-09-07,2021-09-14,173.14892578125,158.09481811523438,19.25125043827615,-289.81039680323966,-8.694311904097189,STOP_LOSS,69.20253164556964,56.15506329113924,7,0.0,1.0,1.0,0.5,1.0,90.6636032932193,6.361918073778224,0.6166347421142933
SOL-USD,2021-09-15,2021-09-17,159.1173858642578,147.5930633544922,20.948894523549942,-241.42181671245226,-7.242654501373573,STOP_LOSS,72.1993670886076,42.86392405063292,2,0.0,1.0,1.0,0.5,0.0,68.64928229517828,-2.461714845660797,0.6647860662435494
SOL-USD,2021-10-06,2021-10-07,154.1077423095703,154.28118896484375,21.629888825685097,3.7516318707512255,0.11254895612254144,SIGNAL_WEAK,64.24050632911393,39.00316455696203,1,0.0,1.0,1.0,0.5,0.0,53.78717801730076,0.5588578534036479,0.599957985434665
BTC-USD,2021-10-06,2021-10-14,55361.44921875,57321.5234375,0.06021036985795504,118.01679365998007,3.540503809799393,SIGNAL_WEAK,68.17886178861788,37.9390243902439,8,0.0,1.0,1.0,0.5,1.0,77.66517790590277,1266.2346060773948,0.39296677683072123
ETH-USD,2021-10-13,2021-10-14,3606.20166015625,3786.01416015625,0.9243335918127513,166.20673397783003,4.98620201933491,SIGNAL_WEAK,60.25609756097561,37.9390243902439,1,0.0,1.0,1.0,0.5,1.0,79.34028362374681,30.87364183159616,0.4440426965020992
SOL-USD,2021-10-27,2021-10-28,183.77459716796875,194.86398315429688,18.138161556064734,201.14107457757973,6.034232237327393,SIGNAL_WEAK,61.946202531645575,39.00316455696203,1,0.0,1.0,1.0,0.5,0.0,66.81933682275837,2.5379719874288753,0.5208228982489096
SOL-USD,2021-11-03,2021-11-11,242.89881896972656,234.24075317382812,13.723135202846663,-118.81580751225647,-3.5644742253676935,SIGNAL_WEAK,66.36708860759494,39.00316455696203,8,0.0,1.0,1.0,0.5,0.0,75.92128624730597,3.2862751516878976,0.5021895179283103
SOL-USD,2021-12-01,2021-12-03,229.7992401123047,211.22439575195312,14.505414951347564,-269.43582510359784,-8.083074753107926,SIGNAL_WEAK,61.946202531645575,3.4810126582278484,2,0.0,1.0,1.0,0.5,0.0,53.712470192697594,-0.9395198726534324,0.4479908170319972
BTC-USD,2022-02-16,2022-02-17,43961.859375,40538.01171875,0.07582330185126146,-259.60743433257767,-7.788223029977334,SIGNAL_WEAK,60.8739837398374,0.0,1,1.0,1.0,1.0,-0.5,1.0,77.73036202882531,424.18299602420103,0.40618490153424114
SOL-USD,2022-03-02,2022-03-03,100.6496353149414,95.53919982910156,33.1181859020457,-169.2483524604554,-5.077450573813655,SIGNAL_WEAK,66.45569620253164,24.20886075949367,1,1.0,1.0,1.0,-0.5,-0.5,48.89785977735981,2.195056003147309,0.29007570011918177
SOL-USD,2022-03-23,2022-03-29,95.1026840209961,111.71031188964844,35.04983447783055,582.0946078656702,17.462838235970114,TAKE_PROFIT,70.49050632911393,53.09810126582279,6,1.0,1.0,1.0,-0.5,0.0,59.94027993915895,1.661093966386034,0.371201549604518
ETH-USD,2022-03-30,2022-03-31,3385.157958984375,3281.642822265625,0.9846906329692839,-101.9303854974878,-3.0579115649246367,SIGNAL_WEAK,68.17886178861788,32.85365853658537,1,1.0,1.0,1.0,-0.5,1.0,87.33243443733025,57.5137741902284,0.47432725943530857
ETH-USD,2022-04-03,2022-04-05,3522.83349609375,3411.79248046875,0.9462080274385544,-105.06790035930499,-3.152037010779148,SIGNAL_WEAK,72.47560975609757,38.32926829268293,2,1.0,1.0,1.0,0.5,1.0,86.20198983280355,38.856569199818125,0.486864161389877
SOL-USD,2022-03-30,2022-04-06,120.6994857788086,112.88338470458984,27.616798131534146,-215.85568554236625,-6.475670566270993,STOP_LOSS,70.79746835443038,66.21835443037975,7,1.0,1.0,1.0,-0.5,0.0,83.58503376380261,3.335762038842177,0.44011981437584013
SOL-USD,2022-07-06,2022-07-10,37.07356262207031,36.697608947753906,89.91133027363716,-33.8024949790497,-1.0140748493714946,SIGNAL_WEAK,70.49050632911393,33.22784810126583,4,1.0,1.0,1.0,-0.5,0.0,55.95377867943568,0.5585854797181162,0.3927436578094841
SOL-USD,2022-07-20,2022-07-25,42.09366989135742,36.711997985839844,79.18847042646966,-426.1663665350411,-12.78499099605124,SIGNAL_WEAK,66.21835443037975,11.629746835443036,5,1.0,1.0,1.0,-0.5,0.0,60.45300587135693,1.038141091872685,0.5299397562360376
SOL-USD,2022-07-27,2022-08-02,40.3078498840332,39.7545051574707,82.6968777278725,-45.75988119390195,-1.372796435817063,SIGNAL_WEAK,68.67088607594937,33.22784810126583,6,1.0,1.0,1.0,-0.5,0.0,59.370021980444115,-0.16657052813160755,0.5606629265296426
SOL-USD,2022-08-10,2022-08-11,42.365867614746094,42.8217887878418,78.67969006665912,35.87173659399741,1.076152097819927,SIGNAL_WEAK,65.26898734177215,35.60126582278481,1,1.0,1.0,1.0,-0.5,0.0,55.43833199633962,-0.0010912398167829407,0.3422574255505426
SOL-USD,2022-10-05,2022-10-08,34.073883056640625,32.57793426513672,97.82663536739771,-146.34363695475213,-4.3903091086425565,SIGNAL_WEAK,70.49050632911393,9.018987341772153,3,1.0,1.0,1.0,-0.5,0.0,63.439901437081204,0.20682658835045942,0.3815374282940116
ETH-USD,2022-10-26,2022-10-27,1566.566650390625,1514.3748779296875,2.1277954133021812,-111.05341405449371,-3.331602421634817,SIGNAL_WEAK,72.87804878048782,34.483739837398375,1,1.0,1.0,1.0,-0.5,1.0,79.2580729048206,30.33085910443675,0.398209913881888
BTC-USD,2023-01-13,2023-01-23,19909.57421875,22934.431640625,0.16742363732691684,506.43263196563294,15.192978958968977,TAKE_PROFIT,72.47560975609757,72.47560975609757,10,1.0,1.0,1.0,0.5,1.0,97.41339913572752,310.46678393460024,0.45232028921849365
BTC-USD,2023-01-24,2023-02-06,22636.46875,22760.109375,0.14725500563480484,18.20670093106537,0.5462010279319738,SIGNAL_WEAK,72.47560975609757,38.61788617886179,13,1.0,1.0,1.0,0.5,1.0,86.79293873312565,269.7497162716652,0.5726684641231881
